matricula,nome,email
2026001,Ana Martins,ana.martins2026001@escola.com
2026002,Bruno Almeida,bruno.almeida2026002@escola.com
2026003,Carla Ribeiro,carla.ribeiro2026003@escola.com
2026004,Diego Santos,diego.santos2026004@escola.com
2026005,Eduarda Costa,eduarda.costa2026005@escola.com
2026006,Felipe Rocha,felipe.rocha2026006@escola.com
2026007,Gabriela Lima,gabriela.lima2026007@escola.com
2026008,Henrique Souza,henrique.souza2026008@escola.com
2026009,Isabela Pereira,isabela.pereira2026009@escola.com
2026010,Joao Ferreira,joao.ferreira2026010@escola.com
2026011,Karina Oliveira,karina.oliveira2026011@escola.com
2026012,Lucas Rodrigues,lucas.rodrigues2026012@escola.com
2026013,Mariana Alves,mariana.alves2026013@escola.com
2026014,Nicolas Gomes,nicolas.gomes2026014@escola.com
2026015,Olivia Carvalho,olivia.carvalho2026015@escola.com
2026016,Pedro Nunes,pedro.nunes2026016@escola.com
2026017,Quezia Barros,quezia.barros2026017@escola.com
2026018,Rafael Monteiro,rafael.monteiro2026018@escola.com
2026019,Sofia Araujo,sofia.araujo2026019@escola.com
2026020,Thiago Mendes,thiago.mendes2026020@escola.com
2026021,Ursula Teixeira,ursula.teixeira2026021@escola.com
2026022,Vitor Cardoso,vitor.cardoso2026022@escola.com
2026023,Wesley Martins,wesley.martins2026023@escola.com
2026024,Yasmin Barbosa,yasmin.barbosa2026024@escola.com
2026025,Zoe Fernandes,zoe.fernandes2026025@escola.com
2026026,Arthur Batista,arthur.batista2026026@escola.com
2026027,Bianca Castro,bianca.castro2026027@escola.com
2026028,Caio Moreira,caio.moreira2026028@escola.com
2026029,Daniela Correia,daniela.correia2026029@escola.com
2026030,Enzo Duarte,enzo.duarte2026030@escola.com
