matricula_aluno,email_aluno,nome_aluno,data_presenca
2026001,ana.martins2026001@escola.com,Ana Martins,14/05/2026
2026002,bruno.almeida2026002@escola.com,Bruno Almeida,14/05/2026
2026003,carla.ribeiro2026003@escola.com,Carla Ribeiro,14/05/2026
2026004,diego.santos2026004@escola.com,Diego Santos,14/05/2026
2026005,eduarda.costa2026005@escola.com,Eduarda Costa,14/05/2026
2026006,felipe.rocha2026006@escola.com,Felipe Rocha,14/05/2026
2026007,gabriela.lima2026007@escola.com,Gabriela Lima,14/05/2026
2026008,henrique.souza2026008@escola.com,Henrique Souza,14/05/2026
2026009,isabela.pereira2026009@escola.com,Isabela Pereira,14/05/2026
2026010,joao.ferreira2026010@escola.com,Joao Ferreira,14/05/2026
2026011,karina.oliveira2026011@escola.com,Karina Oliveira,14/05/2026
2026012,lucas.rodrigues2026012@escola.com,Lucas Rodrigues,14/05/2026
2026013,mariana.alves2026013@escola.com,Mariana Alves,14/05/2026
2026014,nicolas.gomes2026014@escola.com,Nicolas Gomes,14/05/2026
2026015,olivia.carvalho2026015@escola.com,Olivia Carvalho,14/05/2026
2026016,pedro.nunes2026016@escola.com,Pedro Nunes,14/05/2026
2026017,quezia.barros2026017@escola.com,Quezia Barros,14/05/2026
2026018,rafael.monteiro2026018@escola.com,Rafael Monteiro,14/05/2026
2026019,sofia.araujo2026019@escola.com,Sofia Araujo,14/05/2026
2026020,thiago.mendes2026020@escola.com,Thiago Mendes,14/05/2026
2026021,ursula.teixeira2026021@escola.com,Ursula Teixeira,14/05/2026
2026022,vitor.cardoso2026022@escola.com,Vitor Cardoso,14/05/2026
2026023,wesley.martins2026023@escola.com,Wesley Martins,14/05/2026
2026024,yasmin.barbosa2026024@escola.com,Yasmin Barbosa,14/05/2026
2026025,zoe.fernandes2026025@escola.com,Zoe Fernandes,14/05/2026
